2026-07-04 19:36:39 | INFO | desktop_agent.agent | logging_utils.py:69 | model_report {"message": "Models: planner=ollama:qwen2.5:7b | vlm=ollama:qwen2.5vl:7b | use_vlm=always | grounding=uia | uia=on | hitl=subgoal | execute=False"}
2026-07-04 19:36:39 | INFO | desktop_agent.models | logging_utils.py:69 | ollama_chat_started {"base_url": "http://localhost:11434", "model": "qwen2.5:7b", "json_mode": true, "timeout": 180, "temperature": 0.0, "messages": [{"role": "system", "content_chars": 408, "content_preview": "You are a desktop automation planner. Break the user's task into an ordered list of small, verifiable subgoals a computer-control agent can execute one at a time using only these capabilities: open apps, open URLs, click visible controls, type text, press keys/hotkeys, scroll, wait, and search inside an app. Keep each subgoal to a single app interaction (not individual keystrokes). Return only valid JSON.", "image_count": 0}, {"role": "user", "content_chars": 607, "content_preview": "{\"task\": \"Open Notepad and type hello\", \"required_json_schema\": {\"subgoals\": [{\"id\": \"1-based integer\", \"goal\": \"what to accomplish in this step\", \"done_when\": \"a short, observable condition that means this subgoal is finished\"}], \"notes\": \"optional short strategy note or empty string\"}, \"rules\": [\"Return exactly one JSON object with a non-empty 'subgoals' array.\", \"Order subgoals in execution order.\", \"Each subgoal must have id, goal, and done_when.\", \"Prefer 2-6 subgoals. Do not include chain-of-thought or markdown.\", \"done_when should mention text/UI that would be visible when the step is done.\"]}", "image_count": 0}]}
2026-07-04 19:37:08 | INFO | desktop_agent.models | logging_utils.py:69 | ollama_chat_completed {"base_url": "http://localhost:11434", "model": "qwen2.5:7b", "response_chars": 284, "response_preview": "{\n  \"subgoals\": [\n    {\n      \"id\": 1,\n      \"goal\": \"Open Notepad\",\n      \"done_when\": \"Notepad application window is open\"\n    },\n    {\n      \"id\": 2,\n      \"goal\": \"Type 'hello' in Notepad\",\n      \"done_when\": \"Text 'hello' appears in the Notepad editor\"\n    }\n  ],\n  \"notes\": \"\"\n}", "elapsed_ms": 28732}
2026-07-04 19:37:08 | INFO | desktop_agent.planner | logging_utils.py:69 | plan_completed {"model": "qwen2.5:7b", "task": "Open Notepad and type hello", "subgoal_count": 2, "plan": {"subgoals": [{"id": 1, "goal": "Open Notepad", "done_when": "Notepad application window is open"}, {"id": 2, "goal": "Type 'hello' in Notepad", "done_when": "Text 'hello' appears in the Notepad editor"}], "notes": ""}}
2026-07-04 19:37:08 | INFO | desktop_agent.agent | logging_utils.py:69 | plan_printed {"message": "\nPlan (2 subgoals):", "subgoal_count": 2}
2026-07-04 19:37:08 | INFO | desktop_agent.agent | logging_utils.py:69 | plan_ready {"subgoal_count": 2, "plan": {"subgoals": [{"id": 1, "goal": "Open Notepad", "done_when": "Notepad application window is open"}, {"id": 2, "goal": "Type 'hello' in Notepad", "done_when": "Text 'hello' appears in the Notepad editor"}], "notes": ""}}
2026-07-04 19:37:08 | INFO | desktop_agent.agent | logging_utils.py:69 | dry_run_notice {"message": "\nDRY RUN (no --execute): the agent will show the FIRST action it would take for each approved subgoal, without touching the mouse/keyboard."}
2026-07-04 19:37:23 | INFO | desktop_agent.agent | logging_utils.py:69 | subgoal_started {"message": "\n--- Subgoal 1: Open Notepad ---", "subgoal": {"id": 1, "goal": "Open Notepad", "done_when": "Notepad application window is open"}}
2026-07-04 19:37:24 | INFO | desktop_agent.perception.vlm | logging_utils.py:69 | vlm_summary_started {"model": "qwen2.5vl:7b", "image_path": "runs\\20260704_193639\\sg01_step01_before_marks.png"}
2026-07-04 19:41:25 | ERROR | desktop_agent.perception.vlm | logging_utils.py:69 | vlm_summary_error {"error_type": "OllamaError", "error": "Could not reach Ollama at http://localhost:11434. Start it with `ollama serve` and pull the configured models.", "model": "qwen2.5vl:7b", "image_path": "runs\\20260704_193639\\sg01_step01_before_marks.png"}
2026-07-04 19:41:25 | ERROR | desktop_agent.perception.vlm | logging_utils.py:97 | vlm_summary_error
summary = client.chat_with_image(model, VLM_PROMPT, image_path)
2026-07-04 19:41:25 | INFO | desktop_agent.agent | logging_utils.py:69 | perceived {"message": "Perceived (step 1): 3 UIA controls, 3 click candidates, VLM off."}
2026-07-04 19:41:25 | INFO | desktop_agent.planner | logging_utils.py:69 | next_action_prompt_build {"model": "qwen2.5:7b", "task": "Open Notepad and type hello", "current_subgoal": {"id": 1, "goal": "Open Notepad", "done_when": "Notepad application window is open"}, "step": 1, "max_steps": 6, "critiques": [], "observation_summary": {"screen_size": [1920, 1080], "ocr_available": false, "ocr_text_chars": 0, "ocr_text_preview": "", "uia_available": true, "uia_item_count": 3, "vlm_available": false, "vlm_summary_preview": "", "ui_candidate_count": 3}}
